Date,Type,Account,Asset,Classification,Amount,Fee,Note
01/01/2025,Dividend,Vanè Income Fund,Janus Henderson Opportunity,Coupon - Balanced Fund,0.24,0,
01/02/2025,Dividend,Vanè Income Fund,J.P. Morgan Equity Fund,Coupon - Equity Fund,2.80,0,
01/03/2025,Dividend,Vanè Income Fund,Janus Henderson Opportunity,Coupon - Balanced Fund,5.80,0,
01/03/2025,Dividend,Vanè Income Fund,Fidelity Asia,Dividend - Stock,0.23,0,
01/03/2025,Dividend,Vanè Income Fund,Medical Properties Trust,Dividend - REIT,8.69,0,
01/04/2025,Dividend,Vanè Income Fund,Algebris Opportunity,Coupon - Bond Fund,10.97,0,
01/04/2025,Dividend,Vanè Income Fund,J.P. Morgan Equity Fund,Coupon - Equity Fund,5.68,0,
01/04/2025,Dividend,Vanè Income Fund,Invesco Balanced Fund,Coupon - Balanced Fund,12.69,0,
01/04/2025,Dividend,Vanè Income Fund,Janus Henderson Opportunity,Coupon - Balanced Fund,6.01,0,
01/04/2025,Dividend,Vanè Income Fund,Fidelity Global,Coupon - Equity Fund,0.91,0,
01/04/2025,Dividend,Vanè Income Fund,Fidelity Asia,Coupon - Equity Fund,0.46,0,
01/05/2025,Dividend,Vanè Income Fund,Janus Henderson Opportunity,Coupon - Balanced Fund,8.22,0,
01/05/2025,Dividend,Vanè Income Fund,Fidelity Global,Coupon - Equity Fund,1.82,0,
01/05/2025,Dividend,Vanè Income Fund,Fidelity Asia,Coupon - Equity Fund,0.68,0,
01/06/2025,Dividend,Vanè Income Fund,Invesco Balanced Fund,Coupon - Balanced Fund,16.60,0,
01/06/2025,Dividend,Vanè Income Fund,Janus Henderson Opportunity,Coupon - Balanced Fund,9.53,0,
01/06/2025,Dividend,Vanè Income Fund,UBS P8%,Coupon - Balanced Fund,0.50,0,
01/06/2025,Dividend,Vanè Income Fund,Fidelity Global,Coupon - Equity Fund,1.97,0,
01/06/2025,Dividend,Vanè Income Fund,Fidelity Asia,Coupon - Equity Fund,0.90,0,
01/06/2025,Dividend,Vanè Income Fund,Medical Properties Trust,Dividend - REIT,8.65,0,
01/07/2025,Dividend,Vanè Income Fund,Janus Henderson Opportunity,Coupon - Balanced Fund,9.26,0,
01/07/2025,Dividend,Vanè Income Fund,Fidelity Global,Coupon - Equity Fund,2.12,0,
01/07/2025,Dividend,Vanè Income Fund,Fidelity Asia,Coupon - Equity Fund,1.12,0,
01/08/2025,Dividend,Vanè Income Fund,Janus Henderson Opportunity,Coupon - Balanced Fund,9.02,0,
01/01/2026,Dividend,Vanè Income Fund,Algebris Opportunity,Coupon - Bond Fund,15.24,0,
01/01/2026,Dividend,Vanè Income Fund,Janus Henderson Opportunity,Coupon - Balanced Fund,10.63,0,
01/01/2026,Dividend,Vanè Income Fund,Fidelity Global,Coupon - Equity Fund,2.35,0,
01/01/2026,Dividend,Vanè Income Fund,Fidelity Asia,Coupon - Equity Fund,1.35,0,
01/01/2026,Dividend,Vanè Income Fund,UBS P8%,Coupon - Balanced Fund,1.17,0,
01/01/2026,Dividend,Vanè Income Fund,Medical Properties Trust,Dividend - REIT,9.70,0
